word,meaning,sentence,sentence_meaning,category
baby,嬰兒,The word 'baby' means 嬰兒 in Chinese.,單字 'baby' 在中文裡的意思是嬰兒。,1. People
boy,男孩,The word 'boy' means 男孩 in Chinese.,單字 'boy' 在中文裡的意思是男孩。,1. People
child,小孩,The word 'child' means 小孩 in Chinese.,單字 'child' 在中文裡的意思是小孩。,1. People
girl,女孩,The word 'girl' means 女孩 in Chinese.,單字 'girl' 在中文裡的意思是女孩。,1. People
neighbor,鄰居,The word 'neighbor' means 鄰居 in Chinese.,單字 'neighbor' 在中文裡的意思是鄰居。,1. People
stranger,陌生人,The word 'stranger' means 陌生人 in Chinese.,單字 'stranger' 在中文裡的意思是陌生人。,1. People
kid,小孩,The word 'kid' means 小孩 in Chinese.,單字 'kid' 在中文裡的意思是小孩。,1. People
king,國王,The word 'king' means 國王 in Chinese.,單字 'king' 在中文裡的意思是國王。,1. People
man,男人，人,The word 'man' means 男人，人 in Chinese.,單字 'man' 在中文裡的意思是男人，人。,1. People
woman,女人,The word 'woman' means 女人 in Chinese.,單字 'woman' 在中文裡的意思是女人。,1. People
people,人們,The word 'people' means 人們 in Chinese.,單字 'people' 在中文裡的意思是人們。,1. People
person,人,The word 'person' means 人 in Chinese.,單字 'person' 在中文裡的意思是人。,1. People
prince,王子,The word 'prince' means 王子 in Chinese.,單字 'prince' 在中文裡的意思是王子。,1. People
queen,皇后,The word 'queen' means 皇后 in Chinese.,單字 'queen' 在中文裡的意思是皇后。,1. People
teenager,青少年,The word 'teenager' means 青少年 in Chinese.,單字 'teenager' 在中文裡的意思是青少年。,1. People
characteristics,個性特徵,The word 'characteristics' means 個性特徵 in Chinese.,單字 'characteristics' 在中文裡的意思是個性特徵。,1. People
beautiful,美的,The word 'beautiful' means 美的 in Chinese.,單字 'beautiful' 在中文裡的意思是美的。,1. People
blind,瞎眼的,The word 'blind' means 瞎眼的 in Chinese.,單字 'blind' 在中文裡的意思是瞎眼的。,1. People
cute,可愛的,The word 'cute' means 可愛的 in Chinese.,單字 'cute' 在中文裡的意思是可愛的。,1. People
fat,胖的,The word 'fat' means 胖的 in Chinese.,單字 'fat' 在中文裡的意思是胖的。,1. People
shy,害羞的,The word 'shy' means 害羞的 in Chinese.,單字 'shy' 在中文裡的意思是害羞的。,1. People
heavy,重的,The word 'heavy' means 重的 in Chinese.,單字 'heavy' 在中文裡的意思是重的。,1. People
old,老的,The house is very old.,這間房子非常老的。,1. People
pretty,美麗的,The word 'pretty' means 美麗的 in Chinese.,單字 'pretty' 在中文裡的意思是美麗的。,1. People
short,矮；短的,The house is very short.,這間房子非常矮；短的。,1. People
smart,聰明的,The word 'smart' means 聰明的 in Chinese.,單字 'smart' 在中文裡的意思是聰明的。,1. People
tall,高的,The house is very tall.,這間房子非常高的。,1. People
thin,瘦的,The word 'thin' means 瘦的 in Chinese.,單字 'thin' 在中文裡的意思是瘦的。,1. People
young,年輕的,The word 'young' means 年輕的 in Chinese.,單字 'young' 在中文裡的意思是年輕的。,1. People
angry,生氣的,The word 'angry' means 生氣的 in Chinese.,單字 'angry' 在中文裡的意思是生氣的。,1. People
bad,不好的,The word 'bad' means 不好的 in Chinese.,單字 'bad' 在中文裡的意思是不好的。,1. People
bored,感到無聊,The word 'bored' means 感到無聊 in Chinese.,單字 'bored' 在中文裡的意思是感到無聊。,1. People
boring,無聊的,The word 'boring' means 無聊的 in Chinese.,單字 'boring' 在中文裡的意思是無聊的。,1. People
busy,忙的,I feel busy today.,我今天感到忙的。,1. People
careful,小心的,The word 'careful' means 小心的 in Chinese.,單字 'careful' 在中文裡的意思是小心的。,1. People
cool,"涼爽的,酷的","The word 'cool' means 涼爽的,酷的 in Chinese.","單字 'cool' 在中文裡的意思是涼爽的,酷的。",1. People
crazy,瘋狂的,The word 'crazy' means 瘋狂的 in Chinese.,單字 'crazy' 在中文裡的意思是瘋狂的。,1. People
excited,感到興奮,The word 'excited' means 感到興奮 in Chinese.,單字 'excited' 在中文裡的意思是感到興奮。,1. People
exciting,興奮的,The word 'exciting' means 興奮的 in Chinese.,單字 'exciting' 在中文裡的意思是興奮的。,1. People
famous,有名的,The word 'famous' means 有名的 in Chinese.,單字 'famous' 在中文裡的意思是有名的。,1. People
friendly,友善的,The word 'friendly' means 友善的 in Chinese.,單字 'friendly' 在中文裡的意思是友善的。,1. People
funny,好笑的,The word 'funny' means 好笑的 in Chinese.,單字 'funny' 在中文裡的意思是好笑的。,1. People
sad,難過的,I feel sad today.,我今天感到難過的。,1. People
happy,快樂的,I feel happy today.,我今天感到快樂的。,1. People
hard-working,勤奮的,The word 'hard-working' means 勤奮的 in Chinese.,單字 'hard-working' 在中文裡的意思是勤奮的。,1. People
honest,誠實的,The word 'honest' means 誠實的 in Chinese.,單字 'honest' 在中文裡的意思是誠實的。,1. People
lovely,可愛的,The word 'lovely' means 可愛的 in Chinese.,單字 'lovely' 在中文裡的意思是可愛的。,1. People
kind,仁慈的,The word 'kind' means 仁慈的 in Chinese.,單字 'kind' 在中文裡的意思是仁慈的。,1. People
lazy,懶惰的,The word 'lazy' means 懶惰的 in Chinese.,單字 'lazy' 在中文裡的意思是懶惰的。,1. People
lonely,孤單的,The word 'lonely' means 孤單的 in Chinese.,單字 'lonely' 在中文裡的意思是孤單的。,1. People
interested,有趣的,The word 'interested' means 有趣的 in Chinese.,單字 'interested' 在中文裡的意思是有趣的。,1. People
rich,富有的,The word 'rich' means 富有的 in Chinese.,單字 'rich' 在中文裡的意思是富有的。,1. People
nice,好的,The word 'nice' means 好的 in Chinese.,單字 'nice' 在中文裡的意思是好的。,1. People
