word,level,meaning,sentence
abandon,4,遺棄；中止,
abide,6,遵守,
ability,1,能力；才能,
able,1,能；有能力的,
abnormal,5,反常的,
aboard,3,在(船、飛機、車)上,
abolish,5,廢除,
aboriginal,6,原住民的,
abortion,5,墮胎,
about,1,關於,
above,1,在…上面；優於，勝過,
abroad,1,在(到)國外,
abrupt,5,突然的；魯莽的,
absence,2,缺席；缺少,
absent,2,缺席的,
absolute,4,完全的；絕對的,
absorb,4,吸收；理解,
abstract,4,抽象的,
abstraction,6,心不在焉／抽象概念,
absurd,5,荒唐的,
abundance,6,豐富,
academic,4,學院的；學術的,
accept,2,接受,
acceptable,3,可以接受的,
acceptance,4,接受,
accessible,5,易接近的,
accessory,6,附件,
accident,2,事故,
accidental,4,偶然的；意外的,
acclaim,6,歡呼；歡呼聲,
accommodation,5,住所,
accompany,4,陪同,
accomplish(ment),4,完成,
accord,5,符合,
accordingly,6,因此,
account,2,帳戶；描述,
accountable,6,負有責任的,
accountant,4,會計師,
accounting,5,會計學,
accumulate,6,積累,
accumulation,6,累積,
accuracy,4,正確(性),
accurate,3,準確的,
accusation,6,控訴,
accuse,4,把…歸咎(於)；指控,
accustom,6,使習慣,
ache,3,疼痛,
achieve(ment),3,完成；達到,
acquaintance,4,熟人,
acquire,4,取得,
acquisition,5,取得；獲得物,
acre,6,英畝,
across,1,橫越,
act,1,行動；表演,
action,1,行動；作用,
active,2,活躍的；積極的,
activity,2,活動；活動力,
actor/actress,1,男演員,
actual,2,實際的,
acute,5,敏銳的,
adapt,4,使適應,
adaptation,6,適應；改編(本),
add,1,增加,
addict,4,對～有癮的人,
addiction,6,耽溺,
addition,2,增加；附加,
additional,3,附加的,
address,2,地址；致詞,
adjust(ment),4,調整,
administrative,5,行政的,
administrator,5,行政官員,
admirable,4,令人欽佩的,
admiral,6,海軍將官,
admiration,4,欽佩,
admire,3,欽佩；欣賞,
admission,4,加入許可；承認,
admit,2,承認,
adolescence,6,青春期,
adolescent,5,青春期的；青少年,
adopt,4,採取；收養,
adult,2,成年人,
advance,2,推進；將…提前,
advanced,3,先進的；高等的,
advantage,3,有利條件；優勢,
adventure,3,冒險,
adverse,5,反對的,
advertise(ment)/ad,3,為…做廣告,
advice,2,勸告；消息,
advise,3,勸告；忠告；通知,
adviser/advisor,3,顧問,
advisory,6,提供忠告的,
advocate,5,提倡者；擁護,
aesthetic,6,美感的,
affair,2,事情；事件,
affect,2,影響；使感動,
affection,5,愛情,
afford,3,類得起；承擔得起,
afraid,1,害怕的,
after,1,在…之後；以後的,
afternoon,1,下午,
afterward/afterwards,3,以後,
again,1,再一次,
against,2,反對；對著,
age,1,年齡；使變老,
agency,4,代理機構；仲介,
agenda,5,議程,
agent,4,代理人；仲介人,
aggression,5,侵略,
aggressive,4,好鬥的；積極的,
ago,1,在～以前,
agony,5,痛苦,
agree(ment),1,同意,
agriculture,3,農業,
ahead,2,在·前面；領先,
aid,2,幫助,
aim,2,目標；瞄準,
air,1,空氣；大氣；天空,
aircraft,2,航空器；飛機,
airline,3,航線；航空公司,
airplane/plane,1,飛機,
airport,1,機場；航空站,
airway,6,航空公司；航線,
aisle,5,通道,
alarm,2,警報；驚恐,
album,2,一套唱片；相簿,
alcohol,4,酒精,
alcoholic,5,酒精飲料；含酒精的,
alert,4,警覺的；警戒,
algebra,6,代數,
alien,5,外國的,
alienate,6,使不和,
alike,2,相同的,
alive,2,活著的；有活力的,
all,1,全部的；全體,
allege,6,聲稱,
allergy,5,過敏性反應,
alley,3,小巷子；小徑,
alliance,5,聯盟,
allocate,5,撥給,
allow,1,允許,
almost,1,幾乎,
alone,2,單獨的,
along,1,沿著；一起,
alongside,5,靠著…旁邊,
aloud,2,大聲地,
alphabet,3,字母系統,
already,1,已經；先前,
also,1,同樣地,
alternate,5,輪流的,
alternative,4,替代的；二擇一的,
although,1,雖然；然而,
altitude,6,高度,
altogether,2,完全；總而言之,
aluminum,6,鋁,
always,1,總是；永遠,
amateur,4,業餘從事者；業餘的,
amaze(ment),3,使驚愕,
ambassador,3,大使；使節,
ambiguity,6,意義含糊,
ambiguous,4,含糊的,
ambition,3,抱負；志向,
ambitious,4,野心勃勃的,
ambulance,3,救護車,
amend,5,修改,
amid/amidst,6,在…當中,
among,2,在…之中,
amount,2,共計；總數,
amuse(ment),4,給～提供娛樂,
analogy,6,相似,
analysis,4,分析,
analyst,5,分析家,
ancestor,4,祖先,
ancient,2,古代的,
angel,3,天使,
anger,2,生氣,
