word,level,meaning,sentence
a/an,1,一個,I saw a dog and an owl.
ability,1,能力；才能,She has the ability to solve problems.
able,1,能；有能力的,He is able to swim.
about,1,關於,We talked about the movie.
above,1,在…上面；優於，勝過,The plane flew above the clouds.
abroad,1,在(到)國外,She wants to study abroad.
across,1,橫越,We walked across the street.
act,1,行動；表演,He decided to act quickly.
action,1,行動；作用,Action is better than words.
actor/actress,1,男演員,The actor performed very well.
add,1,增加,Add some sugar to the tea.
afraid,1,害怕的,She is afraid of dogs.
after,1,在…之後；以後的,We went home after dinner.
afternoon,1,下午,I have a class this afternoon.
again,1,再一次,Please say that again.
age,1,年齡；使變老,He started school at the age of six.
ago,1,在～以前,They moved here two years ago.
agree(ment),1,同意,I agree with your idea.
air,1,空氣；大氣；天空,The air is fresh in the mountains.
airplane/plane,1,飛機,The airplane landed safely.
airport,1,機場；航空站,We met at the airport.
all,1,全部的；全體,All the students passed.
allow,1,允許,My parents allow me to go.
almost,1,幾乎,It is almost time to leave.
along,1,沿著；一起,We walked along the river.
already,1,已經；先前,He has already finished.
also,1,同樣地,She also likes music.
although,1,雖然；然而,"Although it rained, we went out."
always,1,總是；永遠,He is always kind.
am/a.m.,1,上午,I wake up at 7 a.m.
and,1,和；然後,I like tea and coffee.
angry,1,生氣的,She was angry with me.
animal,1,動物,The zoo has many animals.
another,1,另一個,Would you like another cup?
answer,1,答案,Please give me an answer.
ant,1,螞蟻,An ant crawled on the ground.
any,1,任何的；若干,Do you have any questions?
anybody/anyone,1,任何人,Is anybody home?
anything,1,任何事物,Do you need anything?
apartment,1,公寓大樓,They live in a small apartment.
appear,1,出現；顯露,A star appeared in the sky.
apple,1,蘋果,She ate an apple.
area,1,區域；範圍,This area is very quiet.
arm,1,手臂,He hurt his arm.
around,1,各處；大約,We walked around the park.
arrive,1,到達；抵達,They will arrive at noon.
art,1,藝術；藝術品,She loves art class.
as,1,如同；當…時；雖然,"As he spoke, everyone listened."
ask,1,詢問；要求,May I ask a question?
at,1,在（某處/某時）,Meet me at the station.
attack,1,攻擊,The dog may attack strangers.
aunt,1,姑媽；阿姨,My aunt lives in Taipei.
away,1,離開；不在,He is away on business.
baby,1,嬰兒；寶貝,The baby is sleeping.
back,1,後面的；背部；贊助,He sat at the back of the room.
bad,1,不好的；有害的,Smoking is bad for you.
bag,1,袋子,She carried a red bag.
ball,1,球；球狀體,The boy kicked the ball.
banana,1,香蕉,I ate a banana for breakfast.
band,1,帶子；樂團,The band played all night.
bank,1,銀行,I need to go to the bank.
baseball,1,棒球,They play baseball on Sundays.
basket,1,籃子；簍子,Put the fruit in the basket.
basketball,1,籃球,He plays basketball after school.
bat,1,球棒,He hit the ball with a bat.
bath,1,澡缸；沐浴,She takes a bath every night.
bathroom,1,浴室,The bathroom is down the hall.
be,1,是；成為,I want to be a teacher.
beach,1,海灘,We went to the beach.
bean,1,豆子,She cooked beans for dinner.
bear,1,熊；魯莽之人,A bear lives in the forest.
beautiful,1,美麗的,The flowers are beautiful.
because,1,因為,I stayed home because it rained.
become,1,變成,He wants to become a doctor.
bed,1,床,The cat is on the bed.
bedroom,1,臥室,My bedroom is small.
bee,1,蜜蜂,A bee flew near the flower.
beef,1,牛肉,We had beef for dinner.
before,1,在…之前,Wash your hands before eating.
begin,1,開始,The class will begin soon.
behind,1,在…後面；落後,The car is behind the house.
believe,1,相信,I believe your story.
bell,1,鐘(聲)；鈴(聲),The bell rang loudly.
belong,1,歸屬於,This book belongs to me.
below,1,在…下方,Write your name below the line.
belt,1,腰帶；帶狀物,He wore a black belt.
bench,1,長板凳,They sat on a park bench.
beside,1,在旁邊,She sat beside me.
best,1,最好的,This is the best day ever.
between,1,介於…之間,The bank is between two stores.
bicycle/bike,1,腳踏車,He rides his bicycle to school.
big,1,大的,That is a big dog.
bird,1,鳥,A bird sang in the tree.
bite,1,一口之量；咬,Do not bite your nails.
black,1,黑的,She wore a black coat.
blind,1,瞎的；使看不見,The blind man used a cane.
block,1,塊；障礙物；堵住,A fallen tree blocked the road.
blow,1,吹；吹氣；打擊,The wind blew hard.
blue,1,藍色的,The sky is blue.
boat,1,小船；划船,We rowed a boat on the lake.
body,1,身體；主要部分,Exercise keeps your body strong.
book,1,書籍,I read a good book.
bored,1,感到厭煩的,The students looked bored.
boring,1,令人厭煩的,The movie was boring.
born,1,出生的,She was born in June.
borrow,1,借入,Can I borrow your pen?
boss,1,老闆,My boss is very kind.
both,1,兩者皆,Both answers are correct.
bottle,1,瓶子；把…裝瓶,He drank a bottle of water.
bottom,1,底部；底層的,The key is at the bottom.
bow,1,弓；虹；蝴蝶結,She tied a bow in her hair.
bowl,1,碗,The soup is in the bowl.
box,1,箱，盒；把…裝箱,Put the toys in the box.
boy,1,男孩；少年,The boy is playing outside.
brave,1,勇敢的,The brave firefighter saved him.
bread,1,麵包,She bought fresh bread.
break,1,打破；破曉,Be careful not to break the glass.
breakfast,1,早餐,I eat breakfast at seven.
bridge,1,橋樑；艦橋,We walked over the bridge.
bright,1,明亮的；聰明的,The room is bright and clean.
bring,1,帶來；引起,Please bring your book.
brother,1,兄弟,My brother is older than me.
brown,1,棕色的,He has brown eyes.
bug,1,蟲子,A bug landed on the leaf.
build,1,建造,They will build a new school.
bus,1,巴士,I take the bus to work.
business,1,商業；交易,He is in the food business.
busy,1,忙碌的,She is busy today.
but,1,但是,I am tired but happy.
butter,1,奶油；塗奶油於,He put butter on the bread.
butterfly,1,蝴蝶,A butterfly flew by.
button,1,鈕扣；按鈕,Press the button to start.
buy,1,買,I want to buy a new phone.
by,1,藉由；在……旁邊,I go by bus.
cake,1,蛋糕,She made a chocolate cake.
call,1,呼叫；打電話,Please call me tonight.
camera,1,照相機,He took a photo with his camera.
camp,1,營地；露營,We stayed at a camp.
can,1,罐頭；金屬容器,He opened a can of soup.
cap,1,帽子；覆蓋,He wore a blue cap.
car,1,汽車,He drives a car.
card,1,卡片；紙牌遊戲,She sent me a birthday card.
care,1,關心；照顧,She cares about her friends.
careful,1,仔細的,Be careful on the road.
carrot,1,胡蘿蔔,Rabbits like carrots.
carry,1,運送；攜帶,Can you carry this bag?
case,1,事實；實例,"In this case, we should wait."
